category ot1 ot2 ot3 ot4 ot5 nt1 nt2 nt3 nt4 nt5 Order ot_sum nt_sum
"Band 7" 30.39 12.22 44.23 15.5 34.09 34.0 34.5 43.38 10.93 5.89 "New trolley 1." 136.43 128.7
"Band 4" 44.3 19.17 60.0 9.11 8.42 17.91 25.77 55.48 6.02 9.93 "New trolley 1." 140.99999999999997 115.10999999999999
"Band 4" 46.89 23.54 40.11 14.64 37.57 16.82 10.52 18.96 10.75 9.06 "Old trolley 1." 162.75 66.11
"Band 5" 16.86 14.78 41.82 6.01 28.54 22.56 18.16 8.0 7.73 9.8 "New trolley 1." 108.01000000000002 66.25
"Band 5" 17.67 15.98 38.53 4.35 36.78 13.0 20.8 4.59 4.6 10.29 "Old trolley 1." 113.31 53.28
"Band 5" 18.84 33.64 23.9 5.19 37.22 16.29 5.7 9.0 6.8 7.23 "Old trolley 1." 118.78999999999999 45.019999999999996
"SHO Dr" 58.97 23.13 7.96 3.53 17.88 24.77 4.36 6.49 3.96 6.66 "Old trolley 1." 111.46999999999998 46.239999999999995
"Band 6" 22.06 19.48 22.28 7.72 16.35 14.7 21.07 20.81 8.76 16.59 "New trolley 1." 87.89000000000001 81.93
"Band 5" 16.01 20.98 31.87 7.25 22.43 19.26 13.27 5.95 10.93 5.38 "Old trolley 1." 98.53999999999999 54.790000000000006
Consult. 39.02 12.5 25.15 14.81 12.82 23.31 6.12 5.39 4.32 6.5 "Old trolley 1." 104.30000000000001 45.64
"SHO Dr" 34.87 23.99 10.04 6.18 21.52 25.53 5.7 6.82 4.56 6.12 "Old trolley 1." 96.60000000000001 48.73
"Band 6" 16.87 13.09 23.4 3.56 50.91 6.1 5.22 7.79 3.06 9.79 "Old trolley 1." 107.83 31.959999999999997
Consult. 17.33 22.26 26.02 7.11 13.9 15.32 4.85 20.57 4.13 5.58 "Old trolley 1." 86.62 50.45
"Band 5" 16.21 10.79 18.91 4.99 13.16 21.36 17.32 16.54 8.82 6.93 "New trolley 1." 64.06 70.97
"Band 6" 31.6 14.84 19.4 5.11 20.51 12.17 6.99 7.95 3.82 5.47 "Old trolley 1." 91.46000000000001 36.4
"Band 6" 21.95 23.04 32.99 5.74 9.81 12.65 5.92 6.62 4.27 8.0 "Old trolley 1." 93.52999999999999 37.46
"Band 6" 26.24 22.79 11.59 4.54 12.02 16.02 7.07 6.3 3.69 8.82 "Old trolley 1." 77.18 41.9
"Band 7" 16.21 17.73 18.62 4.63 26.12 10.99 7.2 6.65 2.46 5.5 "Old trolley 1." 83.31 32.800000000000004
"Band 6" 13.33 14.71 15.14 5.33 5.5 18.47 9.93 10.5 2.79 5.73 "Old trolley 1." 54.01 47.42
